season,player_name,pos,posteam,defteam,game_id,week,game_date,rush_attempt,rush_touchdown,tackled_for_loss,yards_gained,fumble,touchdown,complete_pass,pass_attempt,pass_touchdown,air_yards,yards_after_catch,qb_dropback,qb_hit,qb_scramble,sack,interception,pass_yards,rush_yards,rec_yards,fanPts
1999,B.Kinchen,TE,CAR,CLE,1999_11_CAR_CLE,11,1999-11-21,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.2
1999,B.Kinchen,TE,CAR,DET,1999_07_DET_CAR,7,1999-10-24,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.8
1999,B.Kinchen,TE,CAR,GB,1999_14_CAR_GB,14,1999-12-12,0.0,0.0,0.0,26.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,8.6
1999,B.Kinchen,TE,CAR,LA,1999_10_CAR_STL,10,1999-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,B.Kinchen,TE,CAR,LA,1999_13_STL_CAR,13,1999-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,B.Kinchen,TE,CAR,PIT,1999_16_CAR_PIT,16,1999-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,B.Kozlowski,TE,ATL,ARI,1999_16_ARI_ATL,16,1999-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,B.Kozlowski,TE,ATL,CAR,1999_08_CAR_ATL,8,1999-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,B.Kozlowski,TE,ATL,CAR,1999_12_ATL_CAR,12,1999-11-28,0.0,0.0,0.0,29.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,8.9
1999,B.Kozlowski,TE,ATL,DAL,1999_02_ATL_DAL,2,1999-09-20,0.0,0.0,0.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,1.4
1999,B.Kozlowski,TE,ATL,JAX,1999_09_JAX_ATL,9,1999-11-07,0.0,0.0,0.0,49.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,49.0,2.9000000000000004
1999,B.Kozlowski,TE,ATL,LA,1999_03_ATL_STL,3,1999-09-26,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.2
1999,B.Kozlowski,TE,ATL,LA,1999_06_STL_ATL,6,1999-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,B.Kozlowski,TE,ATL,MIN,1999_01_MIN_ATL,1,1999-09-12,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.2
1999,B.Kozlowski,TE,ATL,NO,1999_05_ATL_NO,5,1999-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,B.Kozlowski,TE,ATL,NO,1999_13_NO_ATL,13,1999-12-05,0.0,0.0,0.0,26.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,2.6
1999,B.Spence,TE,NYJ,BUF,1999_02_NYJ_BUF,2,1999-09-19,0.0,0.0,0.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,1.3
1999,B.Spence,TE,NYJ,DAL,1999_15_NYJ_DAL,15,1999-12-19,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.2
1999,B.Spence,TE,NYJ,JAX,1999_05_JAX_NYJ,5,1999-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,B.Spence,TE,NYJ,SEA,1999_17_SEA_NYJ,17,2000-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,C.Carter,TE,MIN,ATL,1999_01_MIN_ATL,1,1999-09-12,0.0,0.0,0.0,70.0,0.0,1.0,7.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,70.0,13.0
1999,C.Carter,TE,MIN,CHI,1999_05_CHI_MIN,5,1999-10-10,0.0,0.0,0.0,60.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,60.0,6.0
1999,C.Carter,TE,MIN,CHI,1999_10_MIN_CHI,10,1999-11-14,0.0,0.0,0.0,141.0,0.0,3.0,9.0,12.0,3.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,141.0,32.1
1999,C.Carter,TE,MIN,DAL,1999_09_DAL_MIN,9,1999-11-08,0.0,0.0,0.0,116.0,0.0,1.0,9.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,116.0,17.6
1999,C.Carter,TE,MIN,DAL,1999_18_DAL_MIN,18,2000-01-09,0.0,0.0,0.0,5.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,6.5
1999,C.Carter,TE,MIN,DEN,1999_08_MIN_DEN,8,1999-10-31,0.0,0.0,0.0,144.0,0.0,2.0,8.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,26.4
1999,C.Carter,TE,MIN,DET,1999_06_MIN_DET,6,1999-10-17,0.0,0.0,0.0,45.0,0.0,2.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,10.5
1999,C.Carter,TE,MIN,DET,1999_17_DET_MIN,17,2000-01-02,0.0,0.0,0.0,52.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,52.0,5.2
1999,C.Carter,TE,MIN,GB,1999_03_MIN_GB,3,1999-09-26,0.0,0.0,0.0,85.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,85.0,8.5
1999,C.Carter,TE,MIN,KC,1999_14_MIN_KC,14,1999-12-12,0.0,0.0,0.0,22.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,2.2
